TIME_PERIOD,OBS_VALUE,OBS_EXCEPTION,OBS_STATUS,OBS_SOURCE,OBS_NOTE,COBER_GEO
2014/10,124.30000000000000000000,,3,,,07000001
2014/11,99.60000000000000000000,,3,,,07000001
2014/12,111.80000000000000000000,,3,,,07000001
2015/01,79.90000000000000000000,,3,,,07000001
2015/02,84.10000000000000000000,,3,,,07000001
2015/03,56.80000000000000000000,,3,,,07000001
2015/04,34.70000000000000000000,,3,,,07000001
2015/05,14.00000000000000000000,,3,,,07000001
2015/06,56.90000000000000000000,,3,,,07000001
2015/07,48.70000000000000000000,,3,,,07000001
2015/08,87.30000000000000000000,,3,,,07000001
2015/09,81.10000000000000000000,,3,,,07000001
2015/10,92.80000000000000000000,,3,,,07000001
2015/11,88.70000000000000000000,,3,,,07000001
2015/12,77.30000000000000000000,,3,,,07000001
2016/01,56.70000000000000000000,,3,,,07000001
2016/02,52.40000000000000000000,,3,,,07000001
2016/03,38.40000000000000000000,,3,,,07000001
2016/04,33.10000000000000000000,,3,,,07000001
2016/05,23.00000000000000000000,,3,,,07000001
2016/06,22.00000000000000000000,,3,,,07000001
2016/07,28.00000000000000000000,,3,,,07000001
2016/08,22.00000000000000000000,,3,,,07000001
2016/09,23.00000000000000000000,,3,,,07000001
2016/10,28.00000000000000000000,,3,,,07000001
2016/11,39.00000000000000000000,,3,,,07000001
2016/12,18.00000000000000000000,,3,,,07000001
2017/01,28.00000000000000000000,,3,,,07000001
2017/02,34.00000000000000000000,,3,,,07000001
2017/03,50.00000000000000000000,,3,,,07000001
2017/04,52.00000000000000000000,,3,,,07000001
2017/05,65.00000000000000000000,,3,,,07000001
2017/06,53.00000000000000000000,,3,,,07000001
2017/07,66.00000000000000000000,,3,,,07000001
2017/08,60.00000000000000000000,,3,,,07000001
2017/09,37.00000000000000000000,,3,,,07000001
2017/10,36.00000000000000000000,,3,,,07000001
2017/11,23.00000000000000000000,,3,,,07000001
2017/12,29.00000000000000000000,,3,,,07000001
2018/01,32.00000000000000000000,,3,,,07000001
2018/02,25.00000000000000000000,,3,,,07000001
2018/03,21.00000000000000000000,,3,,,07000001
2018/04,22.00000000000000000000,,3,,,07000001
2018/05,16.00000000000000000000,,3,,,07000001
2018/06,18.00000000000000000000,,3,,,07000001
2018/07,27.00000000000000000000,,3,,,07000001
2018/08,15.00000000000000000000,,3,,,07000001
2018/09,8.00000000000000000000,,3,,,07000001
2018/10,11.00000000000000000000,,3,,,07000001
2018/11,15.00000000000000000000,,3,,,07000001
2018/12,15.00000000000000000000,,3,,,07000001
2019/01,18.00000000000000000000,,3,,,07000001
2019/02,9.00000000000000000000,,3,,,07000001
2019/03,8.00000000000000000000,,3,,,07000001
2019/04,6.00000000000000000000,,3,,,07000001
2019/05,9.00000000000000000000,,3,,,07000001
2019/06,7.00000000000000000000,,3,,,07000001
2019/07,11.00000000000000000000,,3,,,07000001
2019/08,15.00000000000000000000,,3,,,07000001
2019/09,13.00000000000000000000,,3,,,07000001
2019/10,9.00000000000000000000,,3,,,07000001
2019/11,8.00000000000000000000,,3,,,07000001
2019/12,7.00000000000000000000,,3,,,07000001
2020/01,12.00000000000000000000,,3,,,07000001
2020/02,10.00000000000000000000,,3,,,07000001
2020/03,15.00000000000000000000,,3,,,07000001
2020/04,7.90000000000000000000,,3,,,07000001
2020/05,2.00000000000000000000,,3,,,07000001
2020/06,1.00000000000000000000,,3,,,07000001
2020/07,8.00000000000000000000,,3,,,07000001
2020/08,6.00000000000000000000,,3,,,07000001
2020/09,2.00000000000000000000,,3,,,07000001
2020/10,3.00000000000000000000,,3,,,07000001
2020/11,6.00000000000000000000,,3,,,07000001
2020/12,13.00000000000000000000,,3,,,07000001
2021/01,15.20000000000000000000,,3,,,07000001
2021/02,21.00000000000000000000,,3,,,07000001
2021/03,22.00000000000000000000,,3,,,07000001
2021/04,20.00000000000000000000,,3,,,07000001
2021/05,16.00000000000000000000,,3,,,07000001
2021/06,13.00000000000000000000,,3,,,07000001
2021/07,9.00000000000000000000,,3,,,07000001
2021/08,7.00000000000000000000,,3,,,07000001
2021/09,7.00000000000000000000,,3,,,07000001
2021/10,5.00000000000000000000,,3,,,07000001
2021/11,3.00000000000000000000,,3,,,07000001
2021/12,4.00000000000000000000,,3,,,07000001
2022/01,4.00000000000000000000,,1,,,07000001
2022/02,3.00000000000000000000,,1,,,07000001
2022/03,4.00000000000000000000,,1,,,07000001
2022/04,3.00000000000000000000,,1,,,07000001
2022/05,3.00000000000000000000,,1,,,07000001
2022/06,4.00000000000000000000,,1,,,07000001
2022/07,3.00000000000000000000,,1,,,07000001
2022/08,2.30000000000000000000,,1,,,07000001
