Date,Ticker,Open,High,Low,Close,Volume,Delta,volumeDelta,high_low_delta,end_day_delta
2022-05-19,^NDX,11872.5595703125,12066.849609375,11795.7900390625,11875.6298828125,5136920000.0,-0.004416358176275947,0.0186197952813989,0.02297934851458607,0.0002586057776182786
2022-05-20,^NDX,12037.0302734375,12044.7001953125,11492.2900390625,11835.6201171875,5413140000.0,-0.0033690647165508514,0.053771520677760254,0.048067891984308435,-0.016732545459693514
2022-05-23,^NDX,11867.080078125,12047.8095703125,11785.759765625,12034.2802734375,4509640000.0,0.0167849385400185,-0.16690867038354817,0.02223444308204966,0.014089413251765775
2022-05-24,^NDX,11807.7802734375,11842.8095703125,11576.1103515625,11769.83984375,4706300000.0,-0.021973929780510604,0.0436088024764727,0.02303875919030108,-0.0032131720618861687
2022-05-25,^NDX,11732.4501953125,12028.8896484375,11714.26953125,11943.9296875,4500920000.0,0.014791182043351725,-0.04363937700529075,0.02685785198540909,0.01802517706591186
2022-05-26,^NDX,11906.830078125,12337.73046875,11901.8701171875,12276.7900390625,4651470000.0,0.027868579292697815,0.03344871715116016,0.03662116518420695,0.031071238819237318
2022-05-27,^NDX,12421.7998046875,12682.580078125,12405.2900390625,12681.419921875,4774530000.0,0.03295893157128549,0.02645615257112266,0.022352563961773805,0.020900362368545783
2022-05-31,^NDX,12688.9501953125,12762.83984375,12482.3203125,12642.099609375,6028940000.0,-0.0031006238057122992,0.2627295252098112,0.022473348241919665,-0.0036922349931523377
2022-06-01,^NDX,12750.3095703125,12820.4697265625,12457.91015625,12548.3603515625,4697810000.0,-0.007414848854931155,-0.22079005596340318,0.029102760074939837,-0.01583876984604464
2022-06-02,^NDX,12498.6298828125,12897.6298828125,12447.76953125,12892.8896484375,4422830000.0,0.027456120737885836,-0.05853365717217174,0.0361398361717037,0.031544238794299094
2022-06-03,^NDX,12650.3798828125,12724.8095703125,12505.759765625,12548.0302734375,4117290000.0,-0.02674802813051258,-0.06908246529936712,0.01751591337054223,-0.008090635247567372
2022-06-06,^NDX,12745.8896484375,12804.4599609375,12534.580078125,12599.6298828125,4633950000.0,0.004112168065471655,0.12548545280997936,0.02153082760893497,-0.011475053500320378
2022-06-07,^NDX,12456.490234375,12737.2998046875,12413.5595703125,12711.6796875,4383960000.0,0.008893102871247782,-0.05394749619654937,0.026079565054751667,0.020486465153786076
2022-06-08,^NDX,12682.8095703125,12776.650390625,12578.5498046875,12615.1298828125,4689310000.0,-0.0075953616721826656,0.06965163915729167,0.015749079902969115,-0.005336332389506373
2022-06-09,^NDX,12543.3701171875,12666.41015625,12265.8603515625,12269.7802734375,5382110000.0,-0.027375826692479954,0.14774028588427712,0.03265566321537939,-0.02181151008014303
2022-06-10,^NDX,12052.58984375,12082.6904296875,11825.349609375,11832.8203125,5125980000.0,-0.03561269649493748,-0.047589142548182806,0.021761793842313398,-0.018234216388269768
2022-06-13,^NDX,11472.1904296875,11568.650390625,11254.1904296875,11288.3203125,5912360000.0,-0.04601607948231912,0.15341066488749466,0.027941588771057586,-0.016027463832162747
2022-06-14,^NDX,11385.1796875,11418.2197265625,11205.919921875,11311.6904296875,4802090000.0,0.002070291818493164,-0.18778795607845256,0.018945325878428863,-0.00645481756367756
2022-06-15,^NDX,11468.1298828125,11751.2900390625,11346.5400390625,11593.76953125,5346110000.0,0.024936953792704886,0.11328817244158262,0.03567166718722849,0.010955548090347187
2022-06-16,^NDX,11286.8701171875,11311.0498046875,11037.2099609375,11127.5703125,5667810000.0,-0.04021118562805659,0.06017459423767946,0.024810603831870937,-0.014113727103576775
2022-06-17,^NDX,11172.650390625,11357.9697265625,11089.9296875,11265.990234375,7423600000.0,0.012439366185761802,0.309782790883957,0.024169678854196974,0.00835431526867803
2022-06-21,^NDX,11446.98046875,11638.4697265625,11446.98046875,11546.759765625,5201450000.0,0.024921868864514973,-0.2993359017188426,0.01672836415989888,0.008716647778634309
2022-06-22,^NDX,11427.740234375,11708.080078125,11423.2001953125,11527.7099609375,5215100000.0,-0.0016497965727330088,0.0026242682328965206,0.024938710513836587,0.008747987310893534
2022-06-23,^NDX,11622.08984375,11729.6201171875,11515.48046875,11697.6796875,5238210000.0,0.014744448562503232,0.0044313627734846595,0.018595806663787844,0.0065039803310976705
2022-06-24,^NDX,11826.9501953125,12112.8203125,11812.1796875,12105.849609375,9438810000.0,0.03489323804199951,0.8019151580406283,0.025451748360901322,0.023581685003885376
2022-06-27,^NDX,12157.9296875,12175.98046875,11965.669921875,12008.240234375,5017930000.0,-0.008062992532503421,-0.4683726020547082,0.017576161489338885,-0.012312084127193222
2022-06-28,^NDX,12021.33984375,12133.8701171875,11633.1298828125,11637.76953125,5397910000.0,-0.030851373381462155,0.07572445211471668,0.04304432593973049,-0.03190745104002875
2022-06-29,^NDX,11619.009765625,11710.2099609375,11537.7197265625,11658.259765625,5609230000.0,0.0017606667944385368,0.03914848524706782,0.014950114794164013,0.003378084775874934
2022-06-30,^NDX,11532.3203125,11650.9599609375,11322.8603515625,11503.7197265625,5620800000.0,-0.013255841109165334,0.0020626717036027475,0.02897674255337114,-0.0024800374220008033
2022-07-01,^NDX,11472.6298828125,11592.849609375,11378.6298828125,11585.6796875,4844560000.0,0.007124648625457253,-0.13810133788784518,0.018826495700161615,0.00985387011018837
2022-07-05,^NDX,11419.33984375,11781.740234375,11366.0703125,11779.900390625,5028520000.0,0.01676385920927448,0.03797248872962666,0.03657112004822467,0.03157455262813121
2022-07-06,^NDX,11807.080078125,11941.3095703125,11727.3603515625,11852.58984375,4824620000.0,0.006170633937011116,-0.040548710157263024,0.018243595518193007,0.003854447104946466
2022-07-07,^NDX,11913.73046875,12137.7099609375,11897.509765625,12109.0498046875,4662320000.0,0.021637461881188313,-0.03363995506381845,0.02018911520514157,0.016394473288599845
