seriesID,year,period,periodName,value,Date
EIUIR,2020,M09,September,123.4,2020-09-01
EIUIR,2020,M08,August,123.2,2020-08-01
EIUIR,2020,M07,July,122.1,2020-07-01
EIUIR,2020,M06,June,120.6,2020-06-01
EIUIR,2020,M05,May,119.0,2020-05-01
EIUIR,2020,M04,April,118.2,2020-04-01
EIUIR,2020,M03,March,121.3,2020-03-01
EIUIR,2020,M02,February,124.3,2020-02-01
EIUIR,2020,M01,January,125.2,2020-01-01
EIUIQ,2022,M09,September,156.4,2022-09-01
EIUIQ,2022,M08,August,157.7,2022-08-01
EIUIQ,2022,M07,July,160.5,2022-07-01
EIUIQ,2022,M06,June,166.7,2022-06-01
EIUIQ,2022,M05,May,164.9,2022-05-01
EIUIQ,2022,M04,April,160.6,2022-04-01
EIUIQ,2022,M03,March,159.0,2022-03-01
EIUIQ,2022,M02,February,153.0,2022-02-01
EIUIQ,2022,M01,January,148.2,2022-01-01
EIUIQ,2021,M12,December,144.2,2021-12-01
EIUIQ,2021,M11,November,146.5,2021-11-01
EIUIQ,2021,M10,October,145.5,2021-10-01
EIUIQ,2021,M09,September,142.8,2021-09-01
EIUIQ,2021,M08,August,142.4,2021-08-01
EIUIQ,2021,M07,July,142.1,2021-07-01
EIUIQ,2021,M06,June,140.6,2021-06-01
EIUIQ,2021,M05,May,139.0,2021-05-01
EIUIQ,2021,M04,April,135.9,2021-04-01
EIUIQ,2021,M03,March,134.3,2021-03-01
EIUIQ,2021,M02,February,131.0,2021-02-01
EIUIQ,2021,M01,January,128.9,2021-01-01
EIUIQ,2020,M12,December,125.5,2020-12-01
EIUIQ,2020,M11,November,124.0,2020-11-01
EIUIQ,2020,M10,October,123.0,2020-10-01
EIUIQ,2020,M09,September,122.8,2020-09-01
EIUIQ,2020,M08,August,122.1,2020-08-01
EIUIQ,2020,M07,July,121.5,2020-07-01
EIUIQ,2020,M06,June,120.3,2020-06-01
EIUIQ,2020,M05,May,118.2,2020-05-01
EIUIQ,2020,M04,April,118.2,2020-04-01
EIUIQ,2020,M03,March,122.5,2020-03-01
EIUIQ,2020,M02,February,124.3,2020-02-01
EIUIQ,2020,M01,January,125.8,2020-01-01
