,period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales,customers-units,price-units,revenue-units,sales-units
91,2019-01-01,CO,Colorado,TRA,transportation,1.0,8.91,0.80904,9.08397,number of customers,cents per kilowatthour,million dollars,million kilowatthours
92,2019-01-01,CT,Connecticut,ALL,all sectors,1664289.0,19.07,493.36245,2587.30618,number of customers,cents per kilowatthour,million dollars,million kilowatthours
93,2019-01-01,CT,Connecticut,COM,commercial,151697.0,17.27,182.56238,1056.97855,number of customers,cents per kilowatthour,million dollars,million kilowatthours
94,2019-01-01,CT,Connecticut,IND,industrial,4257.0,14.25,37.15089,260.79646,number of customers,cents per kilowatthour,million dollars,million kilowatthours
95,2019-01-01,CT,Connecticut,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
96,2019-01-01,CT,Connecticut,RES,residential,1508332.0,21.5,270.84187,1259.4917,number of customers,cents per kilowatthour,million dollars,million kilowatthours
97,2019-01-01,CT,Connecticut,TRA,transportation,3.0,27.96,2.80732,10.03948,number of customers,cents per kilowatthour,million dollars,million kilowatthours
98,2019-01-01,DE,Delaware,ALL,all sectors,492261.0,10.61,109.42455,1031.67897,number of customers,cents per kilowatthour,million dollars,million kilowatthours
99,2019-01-01,DE,Delaware,COM,commercial,54988.0,9.79,35.57588,363.54118,number of customers,cents per kilowatthour,million dollars,million kilowatthours
100,2019-01-01,DE,Delaware,IND,industrial,869.0,8.23,15.26258,185.40007,number of customers,cents per kilowatthour,million dollars,million kilowatthours
101,2019-01-01,DE,Delaware,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
102,2019-01-01,DE,Delaware,RES,residential,436404.0,12.14,58.5861,482.73773,number of customers,cents per kilowatthour,million dollars,million kilowatthours
103,2019-01-01,DE,Delaware,TRA,transportation,0.0,0.0,0.0,0.0,number of customers,cents per kilowatthour,million dollars,million kilowatthours
104,2019-01-01,DC,District of Columbia,ALL,all sectors,306450.0,12.45,118.82427,954.3135,number of customers,cents per kilowatthour,million dollars,million kilowatthours
105,2019-01-01,DC,District of Columbia,COM,commercial,26474.0,12.42,85.24969,686.12152,number of customers,cents per kilowatthour,million dollars,million kilowatthours
106,2019-01-01,DC,District of Columbia,IND,industrial,1.0,8.43,1.04309,12.36652,number of customers,cents per kilowatthour,million dollars,million kilowatthours
107,2019-01-01,DC,District of Columbia,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
108,2019-01-01,DC,District of Columbia,RES,residential,279972.0,13.01,29.87056,229.64372,number of customers,cents per kilowatthour,million dollars,million kilowatthours
109,2019-01-01,DC,District of Columbia,TRA,transportation,3.0,10.16,2.66093,26.18175,number of customers,cents per kilowatthour,million dollars,million kilowatthours
110,2019-01-01,FL,Florida,ALL,all sectors,10654389.0,10.44,1831.86456,17550.53901,number of customers,cents per kilowatthour,million dollars,million kilowatthours
111,2019-01-01,FL,Florida,COM,commercial,1224317.0,9.36,663.64496,7093.72646,number of customers,cents per kilowatthour,million dollars,million kilowatthours
112,2019-01-01,FL,Florida,IND,industrial,23231.0,7.76,99.6992,1284.20874,number of customers,cents per kilowatthour,million dollars,million kilowatthours
113,2019-01-01,FL,Florida,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
114,2019-01-01,FL,Florida,RES,residential,9406839.0,11.65,1067.9298,9165.44725,number of customers,cents per kilowatthour,million dollars,million kilowatthours
115,2019-01-01,FL,Florida,TRA,transportation,2.0,8.25,0.59061,7.15657,number of customers,cents per kilowatthour,million dollars,million kilowatthours
116,2019-01-01,GA,Georgia,ALL,all sectors,4985080.0,9.44,1116.29335,11830.87573,number of customers,cents per kilowatthour,million dollars,million kilowatthours
117,2019-02-01,AL,Alabama,ALL,all sectors,2615890.0,9.53,618.52714,6487.73106,number of customers,cents per kilowatthour,million dollars,million kilowatthours
118,2019-02-01,AL,Alabama,COM,commercial,368765.0,11.48,185.95784,1619.51538,number of customers,cents per kilowatthour,million dollars,million kilowatthours
119,2019-02-01,AL,Alabama,IND,industrial,7203.0,5.48,139.61981,2546.49564,number of customers,cents per kilowatthour,million dollars,million kilowatthours
120,2019-02-01,AL,Alabama,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
121,2019-02-01,AL,Alabama,RES,residential,2239922.0,12.62,292.94949,2321.72005,number of customers,cents per kilowatthour,million dollars,million kilowatthours
122,2019-02-01,AL,Alabama,TRA,transportation,0.0,0.0,0.0,0.0,number of customers,cents per kilowatthour,million dollars,million kilowatthours
123,2019-02-01,AK,Alaska,ALL,all sectors,343352.0,19.88,101.56093,510.89413,number of customers,cents per kilowatthour,million dollars,million kilowatthours
124,2019-02-01,AK,Alaska,COM,commercial,54640.0,19.39,44.34948,228.77173,number of customers,cents per kilowatthour,million dollars,million kilowatthours
125,2019-02-01,AK,Alaska,IND,industrial,1105.0,17.22,16.83407,97.7344,number of customers,cents per kilowatthour,million dollars,million kilowatthours
126,2019-02-01,AK,Alaska,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
127,2019-02-01,AK,Alaska,RES,residential,287607.0,21.9,40.37738,184.388,number of customers,cents per kilowatthour,million dollars,million kilowatthours
128,2019-02-01,AK,Alaska,TRA,transportation,0.0,0.0,0.0,0.0,number of customers,cents per kilowatthour,million dollars,million kilowatthours
129,2019-02-01,AZ,Arizona,ALL,all sectors,3177746.0,10.08,532.96298,5288.11633,number of customers,cents per kilowatthour,million dollars,million kilowatthours
130,2019-02-01,AZ,Arizona,COM,commercial,322498.0,9.84,200.20137,2035.3706,number of customers,cents per kilowatthour,million dollars,million kilowatthours
131,2019-02-01,AZ,Arizona,IND,industrial,7845.0,6.23,64.63533,1037.53081,number of customers,cents per kilowatthour,million dollars,million kilowatthours
132,2019-02-01,AZ,Arizona,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
133,2019-03-01,AL,Alabama,ALL,all sectors,2619440.0,9.56,639.38959,6686.66241,number of customers,cents per kilowatthour,million dollars,million kilowatthours
134,2019-03-01,AL,Alabama,COM,commercial,368808.0,11.62,195.6557,1683.12453,number of customers,cents per kilowatthour,million dollars,million kilowatthours
135,2019-03-01,AL,Alabama,IND,industrial,7207.0,5.79,158.35731,2735.42285,number of customers,cents per kilowatthour,million dollars,million kilowatthours
136,2019-03-01,AL,Alabama,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
137,2019-03-01,AL,Alabama,RES,residential,2243425.0,12.58,285.37658,2268.11503,number of customers,cents per kilowatthour,million dollars,million kilowatthours
138,2019-03-01,AL,Alabama,TRA,transportation,0.0,0.0,0.0,0.0,number of customers,cents per kilowatthour,million dollars,million kilowatthours
139,2019-03-01,AK,Alaska,ALL,all sectors,343978.0,20.03,101.97669,509.19394,number of customers,cents per kilowatthour,million dollars,million kilowatthours
140,2017-11-01,PA,Pennsylvania,COM,commercial,700855.0,8.92,296.27695,3322.42955,number of customers,cents per kilowatthour,million dollars,million kilowatthours
141,2017-11-01,PA,Pennsylvania,IND,industrial,22578.0,6.66,261.97415,3933.16634,number of customers,cents per kilowatthour,million dollars,million kilowatthours
142,2017-11-01,PA,Pennsylvania,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
143,2017-11-01,PA,Pennsylvania,RES,residential,5370536.0,14.4,538.18596,3737.70963,number of customers,cents per kilowatthour,million dollars,million kilowatthours
144,2017-11-01,PA,Pennsylvania,TRA,transportation,6.0,7.02,3.38372,48.17564,number of customers,cents per kilowatthour,million dollars,million kilowatthours
145,2017-11-01,RI,Rhode Island,ALL,all sectors,507832.0,17.57,99.49237,566.26635,number of customers,cents per kilowatthour,million dollars,million kilowatthours
